iter	RMSE
0	0.3815100179
1	0.3654596816
2	0.3505344579
3	0.3365320556
4	0.3237786139
5	0.3107223977
6	0.298511797
7	0.2877483056
8	0.2761713656
9	0.2666104212
10	0.2577915744
11	0.2493314473
12	0.241944224
13	0.234136051
14	0.2269785675
15	0.2207345551
16	0.2144853617
17	0.2086305627
18	0.2027207059
19	0.1979154591
20	0.1932823673
21	0.1889305497
22	0.1847759926
23	0.1806579711
24	0.1770338796
25	0.1735760995
26	0.1701927921
27	0.1672014024
28	0.1642438251
29	0.1615750585
30	0.1591478559
31	0.1562564173
32	0.1538221299
33	0.1514101182
34	0.1496051161
35	0.1474227896
36	0.1455369977
37	0.1438172266
38	0.1420259249
39	0.140470724
40	0.1388883686
41	0.1372901926
42	0.1359039662
43	0.134608058
44	0.1335671444
45	0.132454238
46	0.131179033
47	0.1302610581
48	0.1293174555
49	0.1282778473
50	0.1273143121
51	0.1263081258
52	0.1255252246
53	0.124674394
54	0.1239467331
55	0.123168193
56	0.1222434402
57	0.121506194
58	0.1208374267
59	0.1201969059
60	0.1195405828
61	0.1188915981
62	0.1182335015
63	0.1176862575
64	0.1169658427
65	0.1164804094
66	0.1159475493
67	0.1153208347
68	0.1146990829
69	0.1141187797
70	0.113748666
71	0.1132774473
72	0.1128216076
73	0.1122966874
74	0.1117777785
75	0.1113314697
76	0.1109994727
77	0.1105749235
78	0.110082036
79	0.1094416158
80	0.1090370613
81	0.1085852478
82	0.1082616759
83	0.1078985867
84	0.1075911124
85	0.1069889518
86	0.1066651305
87	0.1064195969
88	0.1061772747
89	0.1058525859
90	0.1056959115
91	0.1055209111
92	0.1052251917
93	0.1047762911
94	0.1043389191
95	0.1040005978
96	0.103647634
97	0.1033339673
98	0.1029248721
99	0.1024974658
100	0.1020448613
101	0.1016923567
102	0.1015150724
103	0.1011697984
104	0.1008046136
105	0.1005216554
106	0.1001868287
107	0.09992626194
108	0.09964674506
109	0.09922307507
110	0.09896010155
111	0.09879967728
